Kantonsratswahlen Zug 2022,3,ALG,aufrecht,Die Mitte,EVP,FDP,GLP,SP,SVP
Zug,19,24661,2357,19506,1397,31563,12627,18526,23456
Oberaegeri,4,918,0,2921,0,1976,223,150,1317
Unteraegeri,6,1160,0,3474,0,3724,1183,2248,4442
Menzingen,3,474,0,1177,0,943,239,161,1581
Baar,15,10283,0,19194,951,16442,6045,9879,20392
Cham,11,5478,0,10915,0,6816,3623,5730,8476
Huenenberg,5,1909,0,3816,130,2996,829,1074,2334
Steinhausen,6,2884,0,4498,0,3511,1027,696,2308
Risch,7,3160,0,3962,0,3358,1014,600,4024
Walchwil,2,31,0,760,0,524,79,346,416
Neuheim,2,18,0,270,0,389,221,67,474
